Наименование товара;Цена розничная;Минимальная партия, шт;Количество в упаковке;Изображение;Производитель
Джин «City of London Distillery Old Tom Gin» 40.3%, 0.7 л, Великобритания;50.29;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/7017/01367017/norm/thumbs/01367017.n_1_1000x1000.png.jpg?1684765809;220 ккал/ 920 кДж
Виски «Samuel Gelston's» 40%, 0.7 л, Ирландия;50.99;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/7547/01327547/norm/thumbs/01327547.n_1_1000x1000.png.jpg?1684765809;220 ккал/ 920 кДж
Виски «Samuel Gelston's Single Malt» 40%, 0.7 л, Ирландия;55.69;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/7546/01327546/norm/thumbs/01327546.n_1_1000x1000.png.jpg?1684765809;220 ккал/ 920 кДж
Виски «The Pogues» 40%, 0.7 л, Ирландия;56.99;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/7544/01327544/norm/thumbs/01327544.n_1_1000x1000.png.jpg?1684765809;220 ккал/ 920 кДж
Спиртной напиток «Метакса 7*» 40%, 0.7 л, Греция;58.79;2;1;https://img.unistore.by/UserFiles/images/catalog/Goods/6339/01336339/norm/thumbs/01336339.n_1_1000x1000.png.jpg?1684765809;220 ккал/ 930 кДж
Виски «Johnnie Walkerblacklabel» 40%, 0.7 л, Великобритания;78.72;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/6023/01426023/norm/thumbs/01426023.n_1_1000x1000.png.jpg?1684765809;Виски
Виски «Bushmills Black Bush» 40%, 1 л, Ирландия, сувенирная упаковка;88.45;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/8596/01428596/norm/thumbs/01428596.n_1_1000x1000.png.jpg?1684765809;Виски
Пиво «Brauberg Original» 4.3%, 0.45 л, Беларусь;1.49;6;24;https://img.unistore.by/UserFiles/images/catalog/Goods/1675/01141675/norm/thumbs/01141675.n_1_1000x1000.png.jpg?1684787407;Импорт
Пиво «Золотая бочка» Классическое светлое, 5.2%, 0.45 л, Россия;1.6;6;24;https://img.unistore.by/UserFiles/images/catalog/Goods/6127/00846127/norm/thumbs/00846127.n_1_1000x1000.png.jpg?1684765809;ж/банка
Пиво«BOHEMSKY LEV»(св,ж/б)0.45л;1.69;6;24;https://img.unistore.by/UserFiles/images/catalog/Goods/6119/01206119/norm/thumbs/01206119.n_1_1000x1000.png.jpg?1684765809;ЛИДСКОЕ ПИВО
Пиво«NOAD.BEER WEIZEN»(пшен,н/ф,ж/б)0.5л;2.02;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/3453/01583453/norm/thumbs/01583453.n_1_1000x1000.png.jpg?1684787408;Импорт
Пиво «Livu Sencu» светлое, 5%, 0.5 л, Латвия;2.03;6;24;https://img.unistore.by/UserFiles/images/catalog/Goods/6869/01126869/norm/thumbs/01126869.n_1_1000x1000.png.jpg?1684096209;УАБ »Калнарои-Тауро груп» 35147 Пеневезус, Тайкос ал. 1, Литва.
Пиво «Ноад Бир Лагер» светлое, 4.1%, 0.5 л, Германия;2.24;6;24;https://img.unistore.by/UserFiles/images/catalog/Goods/7525/01417525/norm/thumbs/01417525.n_1_1000x1000.png.jpg?1684794606;Импорт
Пиво «GILDI PILSNE» (св,ж/б,4.5%)0.568л;2.29;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/9668/01639668/norm/thumbs/01639668.n_1_1000x1000.png.jpg?1684794607;Импорт
